R,G,B,Edge Red,NIR,EXG,EXGR,NGRDI,NGBDI,RGRI,GBRI,GBRI,CIVE,VEG,RGBVI,MGRVI,NDVI,RVI,DVI,EVI,REVI,NDRE,RERVI,REDVI,SCCI,Labels,Location
0.230468750000000,0.335937500000000,0.212890625000000,0.475585937500000,0.490234375000000,0.554687500000000,0.568410932647516,0.591117917304747,0.607720309518208,0.691709844559586,0.645493797667711,0.410164817116477,0.073975497745379,0.550280592171475,0.676378328074994,0.679135274457599,2.116578172714518,0.628417968750000,0.603960158069833,0.048862471920375,0.506443846997647,1.026111910327879,0.505859375000000,0.748743718592965,0.000000000000000,N,L
0.210937500000000,0.269531250000000,0.195312500000000,0.385742187500000,0.427734375000000,0.532470703125000,0.548925174689441,0.560975609756098,0.580146022289012,0.782608695652174,0.723703967125020,0.426421031605113,0.065506085813616,0.531763100065291,0.620164126611958,0.667287982489664,2.005602284853430,0.606933593750000,0.587517097329655,0.052326037759737,0.523547881875079,1.098846792954470,0.518066406250000,0.786054850881978,0.000000000000000,N,L
0.290039062500000,0.333007812500000,0.283203125000000,0.416992187500000,0.398437500000000,0.520996093750000,0.533603454968944,0.532231404958678,0.537414965986395,0.878881987577640,0.860759493670886,0.435458451704545,0.057312758952158,0.542015016078949,0.564196046209182,0.574074074074074,1.347826086956522,0.550781250000000,0.549382716049383,0.044566544566545,0.483443708609272,0.935897435897436,0.486816406250000,0.846715328467153,0.000000000000000,N,L
0.217773437500000,0.282226562500000,0.218750000000000,0.382812500000000,0.376953125000000,0.529785156250000,0.547372379658385,0.562043795620438,0.558695652173913,0.779220779220779,0.789883268482490,0.428298916903410,0.063887684925014,0.534134864807129,0.622205897785707,0.632619439868204,1.721973094170404,0.578613281250000,0.577025823686554,0.046465282148102,0.493868450390190,0.975770925110132,0.495605468750000,0.783783783783784,0.000000000000000,N,L
0.337890625000000,0.396484375000000,0.325195312500000,0.497070312500000,0.453125000000000,0.527587890625000,0.536096418866460,0.534551520547800,0.543978349120433,0.870727070388575,0.838308457711443,0.430925204190340,0.058132407091666,0.557560757035390,0.568774626415012,0.564306571807141,1.295191837460543,0.549316406250000,0.549356608950705,0.043070501017608,0.474922432242518,0.904480521369759,0.477050781250000,0.848735230132662,0.000000000000000,N,L
0.212890625000000,0.271484375000000,0.193359375000000,0.435546875000000,0.486328125000000,0.531494140625000,0.547445166925466,0.556195965417867,0.578488372093023,0.797927461139896,0.728643216080402,0.427307705965910,0.064572273234359,0.532114452682436,0.610989912244731,0.694202898550725,2.270142180094787,0.634277343750000,0.602503912363067,0.053165041116848,0.527514231499051,1.116465863453815,0.524902343750000,0.765297569153395,0.000000000000000,N,L
0.288085937500000,0.339843750000000,0.269531250000000,0.465820312500000,0.452148437500000,0.524902343750000,0.536041828416149,0.533536585365854,0.548964424974914,0.874285714285714,0.821611664992143,0.432667258522727,0.058346976466955,0.544957435457036,0.566772772698671,0.604953598927456,1.531348209447811,0.574218750000000,0.565003340602379,0.046059113300493,0.491673970201578,0.967241379310345,0.492675781250000,0.824580166995028,0.000000000000000,N,L
0.275390625000000,0.341796875000000,0.256835937500000,0.503906250000000,0.517578125000000,0.535400390625000,0.546677867818323,0.550287356321839,0.566929133858268,0.817232375979112,0.763888888888889,0.424758433948863,0.062621782588690,0.548009675694630,0.599567559613828,0.649158622814834,1.850290943536656,0.618164062500000,0.596531998569896,0.049107142857143,0.507692307692308,1.031250000000000,0.507324218750000,0.783984116327770,0.000000000000000,N,L
0.250000000000000,0.333007812500000,0.227539062500000,0.555664062500000,0.616210937500000,0.545898437500000,0.558205551242236,0.570188133140376,0.593294460641399,0.753807106598985,0.685503685503685,0.416917080965908,0.068540541126687,0.547523607499897,0.637663537965454,0.712903225806452,2.483146067415730,0.683105468750000,0.629379310344828,0.052744708994709,0.525535420098847,1.107638888888889,0.529785156250000,0.741618969746525,0.000000000000000,N,L
0.230468750000000,0.288085937500000,0.209960937500000,0.439453125000000,0.470703125000000,0.532470703125000,0.547050902562112,0.553072625698324,0.574712643678161,0.808080808080808,0.740000000000000,0.426666725852272,0.063777498697549,0.535670414566994,0.604962656626134,0.664000000000000,1.976190476190476,0.616210937500000,0.590143809189758,0.050871080139373,0.516509433962264,1.068292682926829,0.513183593750000,0.777327935222672,0.000000000000000,N,L
0.191406250000000,0.258789062500000,0.171875000000000,0.410156250000000,0.469726562500000,0.536865234375000,0.554059709821429,0.573502722323049,0.597476315579970,0.743670886075949,0.673706512042819,0.423184614701704,0.069448675296168,0.529994105920196,0.643895770597301,0.706409301081432,2.406102453838140,0.637207031250000,0.602819528997615,0.054228415911006,0.532447387785136,1.138796734131130,0.527343750000000,0.755585948546431,0.000000000000000,N,L
0.324218750000000,0.390625000000000,0.308593750000000,0.499023437500000,0.462890625000000,0.531005859375000,0.539311189829193,0.538557213930348,0.551429210261811,0.856812933025404,0.813469401779885,0.428392356178977,0.059308846323031,0.558064221637323,0.576658567342294,0.583046964490263,1.398351648351648,0.562988281250000,0.559028384173555,0.044263190734907,0.481738272028842,0.929527005433046,0.482910156250000,0.835429170410303,0.000000000000000,N,L
0.279296875000000,0.343750000000000,0.254882812500000,0.502929687500000,0.516113281250000,0.536621093750000,0.547154017857143,0.549019607843137,0.571189279731993,0.821428571428571,0.750733137829912,0.423952325994318,0.062804123335297,0.548663683701307,0.597105864432597,0.645937813440321,1.824362606232295,0.616699218750000,0.591244916320991,0.049011865902426,0.507206898044235,1.029249183950951,0.506835937500000,0.785764873764543,0.000000000000000,N,L
