Dataset,ICAFS,CAFS,BBA,PSO,CS
Cacao ,0.9961317596864235,0.993558481853181,0.9990909649284442,0.9990909649284442,0.9990909649284442
Meat,0.9749019607843138,0.9916339869281046,0.9749019607843138,0.9665359477124185,0.9749019607843138
Olive,0.9067678812415656,0.9150198412698411,0.9443934793276899,0.9319975419317524,0.9443934793276899
Fruit Puree Dataset,0.9613401652329312,0.9669781022017304,0.971213728190009,0.9734166967936815,0.9691940992536241
CIS,0.92990187672025,0.9950998247652414,0.9468886411186507,0.9657958091795822,0.9326803377664111
Algarrobo,0.7878054605437026,0.7929045798582528,0.7596561374887683,0.7998720062990313,0.7878826352985977
