Dataset,ICAFS Features,CAFS Features,BBA Features,PSO Features,CS Features
Cacao ,23.2 (± 25.7),5.0 (± 1.3),435.8 (± 24.9),596.0 (± 8.7),487.0 (± 107.1)
Meat,15.2 (± 10.5),10.0 (± 8.1),141.4 (± 14.8),197.8 (± 7.3),151.0 (± 14.0)
Olive,50.8 (± 11.5),7.4 (± 2.9),189.8 (± 13.5),243.6 (± 7.1),200.2 (± 13.1)
Fruit Puree Dataset,18.6 (± 9.1),18.0 (± 9.7),66.2 (± 2.9),105.2 (± 6.2),83.6 (± 15.2)
CIS,2.0 (± 0.0),2.8 (± 1.0),2.2 (± 0.4),4.6 (± 1.4),2.0 (± 0.0)
Algarrobo,10.0 (± 2.4),7.6 (± 1.4),5.2 (± 1.0),11.6 (± 2.7),10.4 (± 2.9)
