Dataset,ICAFS,CAFS,BBA,PSO,CS
Cacao ,0.9961317596864235,0.9899809328789184,0.9990909649284442,0.9990909649284442,0.9990909649284442
Meat,0.9584064737005914,0.9749673202614378,0.9663367569249923,0.9749019607843138,0.9749019607843138
Olive,0.9246030942741468,0.8823787834972044,0.9325103624445731,0.9384752747252747,0.9443934793276899
Fruit Puree Dataset,0.9690228290674376,0.9578164413691612,0.9724049904773198,0.9701431513484231,0.9746748597407595
CIS,0.92990187672025,0.9950998247652414,0.9468886411186507,0.9644965448644672,0.9326803377664111
Algarrobo,0.7909635140044784,0.7738822734648136,0.7501674726672398,0.780965105741152,0.7899461619487149
