Dataset,ICAFS,CAFS,BBA,PSO,CS
Cacao ,0.00574046330926591,0.014147058408372647,0.0018180701431116386,0.0018180701431116386,0.0018180701431116386
Meat,0.03716323912576866,0.03334973324617602,0.03162306668752773,0.02049246320759781,0.03060846335359371
Olive,0.06145082537728223,0.027014290406921656,0.07133482436734441,0.07536786869860411,0.10051383600668405
Fruit Puree Dataset,0.0074429893328251265,0.012263704516956199,0.006927972645237646,0.00900055074925648,0.015236104172308838
CIS,0.005956739000522851,0.0018277854854911323,0.024849932510474605,0.013883557576836498,0.011128531408579338
Algarrobo,0.03679811456273168,0.04153628816540408,0.03594763108122636,0.028028066219367206,0.031969127635011425
